,Date,Negative,Neutral,News Outlet,Positive,Text,Tweet Polarity,Tweets Ago
55,Wed Aug 01 22:33:15 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,56
56,Wed Aug 01 22:33:11 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,57
57,Wed Aug 01 22:33:07 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,58
58,Wed Aug 01 22:33:02 +0000 2018,1.0,0.0,BBC,0.0,@ap @DefenseIntel @bbc @tassagency_en @XHNews @Reuters @FoxNews @cnn @msnbc @AlJazeera @USArmy @USNationalGuard… https://t.co/3VeHPpJwOI,0.0,59
59,Wed Aug 01 22:32:51 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,60
60,Wed Aug 01 22:32:47 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,61
61,Wed Aug 01 22:32:37 +0000 2018,1.0,0.0,BBC,0.0,@___wait4it___ @alicoops @CFCPinky @GreenRupertRead @jammydevil @ProfMarkMaslin @BBC @SkyNews If you're a believer… https://t.co/F9n7E8DoPy,0.0,62
62,Wed Aug 01 22:32:31 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,63
63,Wed Aug 01 22:32:11 +0000 2018,0.898,0.102,BBC,0.0,"RT @KINGofJOCKISTAN: So its official now then! 

The @bbc has gone full right wing with Its non stop reporting, verging on the celebration,…",-0.3595,64
64,Wed Aug 01 22:32:08 +0000 2018,0.891,0.109,BBC,0.0,"@extremecompute @BBC No, it just means that they are politically illiterate twats. 

The US versions of them think… https://t.co/EDACqoRRWw",-0.296,65
65,Wed Aug 01 22:32:01 +0000 2018,0.876,0.0,BBC,0.124,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",0.4767,66
66,Wed Aug 01 22:31:58 +0000 2018,0.765,0.14,BBC,0.095,RT @Textualsatisfac: We don't buy your smear campaigns anymore. Shame on you @BBC @SkyUK @guardian @Independent @TheSun @Telegraph @MetroUK…,-0.2477,67
67,Wed Aug 01 22:31:13 +0000 2018,0.886,0.0,BBC,0.114,RT @StuIrish: Tommy Robinson has been freed on bail in a victory for #freespeech against the deliberate suppression by the government and P…,0.4019,68
68,Wed Aug 01 22:30:59 +0000 2018,0.888,0.112,BBC,0.0,"Climate denial is illegitimate!
If you give it airtime then you are not a new organisation, you're a low quality go… https://t.co/4kK98jfKRN",-0.3382,69
69,Wed Aug 01 22:30:33 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,70
70,Wed Aug 01 22:30:28 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,71
71,Wed Aug 01 22:30:28 +0000 2018,1.0,0.0,BBC,0.0,@ramon_vvv @HelleKettner @BBC @BBCWorld @ZDF @lemondefr @CNN @AP @guardian @UN @Reuters @ReutersWorld @FT @SkyNews… https://t.co/mqNSl4Eu29,0.0,72
72,Wed Aug 01 22:30:27 +0000 2018,1.0,0.0,BBC,0.0,@BBC @BradleyKnowles1,0.0,73
73,Wed Aug 01 22:30:15 +0000 2018,1.0,0.0,BBC,0.0,@ramon_vvv @HelleKettner @BBC @BBCWorld @ZDF @lemondefr @CNN @AP @guardian @UN @Reuters @ReutersWorld @FT @SkyNews… https://t.co/EvJQ00Smku,0.0,74
74,Wed Aug 01 22:30:12 +0000 2018,0.876,0.0,BBC,0.124,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",0.4767,75
75,Wed Aug 01 22:30:12 +0000 2018,0.825,0.079,BBC,0.097,RT @DiMASummit: For those who missed #DIMASummit this year at the @BBC we are excited to announce the videos will be released next week! Su…,0.126,76
76,Wed Aug 01 22:29:48 +0000 2018,1.0,0.0,BBC,0.0,"RT @BBC: ♻️🌍Small actions can make a big difference. 
#PlasticsAction

https://t.co/AWXUYNJ4e3 https://t.co/9Khy2bq19Z",0.0,77
